year,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
avg,2.1,4.1,2,2.2,1.5,4,4.5,4.7,2.2,3.1,1.6,3.9,4.2,2.2,1.9,2.5,4.3,3.8,1.5,1.4,1.9,3.6,2.6,1.7,1.7,3.6,2.3,2,4.1,2.9,3.2,2.6,2,0.7,1.6,3.8,2.2,3,2.8,2.2,1.5,1.8,1.4,0.7,1.1,2.6,2.8,2.3,2.4,1.9,2.9,2.5,3.3,2.8,3.1,2.9,2.3,2.2,2.2,2.8,1.6,1.5,1.8,4.2,4.2,4.2,3.1,1.5,3.1,2.4,2.9,2.7,2.6,4.2,2.3,2.1,4.2,1.5,1.6,1,3.7,4.6,3,3.7,2.7,2.2,3.4,2.2,1.7,3.5,2.4,4.5,2.6,2.3,2.5,2.8,2.9,2.9,4,2.6,2.8,3.3,2,0.8
max,41.9,40.6,35.1,42.2,31.8,44.5,77.7,53.8,44.5,38.4,26.2,61,48.8,39.4,38.1,31.2,61.7,62.7,50.8,20.8,30,44.5,40.6,26.9,29.5,54.1,46.2,34.3,53.3,70.4,57.2,41.4,36.8,13.5,23.1,47.2,76.2,38.1,37.6,41.7,16.8,44.2,21.1,13.5,21.1,50.3,35.3,21.6,52.8,55.4,33,47.8,43.4,38.1,69.3,45.2,37.8,22.6,69.6,38.4,27.9,32.5,21.6,81.3,49.3,66,43.2,20.3,54.6,36.3,51.6,52.1,42.2,58.4,28.7,37.1,51.6,15.2,34.3,23.6,56.6,72.1,40.9,45,69.9,41.7,69.1,35.8,23.4,69.3,45,38.4,43.4,50.8,33.3,86.4,76.7,62.2,95.3,51.1,39.6,42.2,52.8,12.7
